Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2017-01-27,MFP iOS calorie adjustment,Cardio,60.0,1,,,,,
2017-01-28,MFP iOS calorie adjustment,Cardio,147.0,1,,,,,
2017-01-29,MFP iOS calorie adjustment,Cardio,27.0,1,,,,,
2017-01-30,MFP iOS calorie adjustment,Cardio,69.0,1,,,,,
2017-01-31,MFP iOS calorie adjustment,Cardio,115.0,1,,,,,
2017-02-01,MFP iOS calorie adjustment,Cardio,161.0,1,,,,,
2017-02-02,MFP iOS calorie adjustment,Cardio,56.0,1,,,,,
2017-02-03,MFP iOS calorie adjustment,Cardio,69.0,1,,,,,
2017-02-04,MFP iOS calorie adjustment,Cardio,10.0,1,,,,,
2017-02-05,MFP iOS calorie adjustment,Cardio,17.0,1,,,,,
2017-02-06,MFP iOS calorie adjustment,Cardio,74.0,1,,,,,
2017-02-07,MFP iOS calorie adjustment,Cardio,55.0,1,,,,,
2017-02-08,MFP iOS calorie adjustment,Cardio,53.0,1,,,,,
2017-02-09,MFP iOS calorie adjustment,Cardio,53.0,1,,,,,
2017-02-10,MFP iOS calorie adjustment,Cardio,47.0,1,,,,,
2017-02-11,MFP iOS calorie adjustment,Cardio,81.0,1,,,,,
2017-02-12,MFP iOS calorie adjustment,Cardio,43.0,1,,,,,
2017-02-13,MFP iOS calorie adjustment,Cardio,118.0,1,,,,,
2017-02-14,MFP iOS calorie adjustment,Cardio,380.0,1,,,,,
2017-02-15,MFP iOS calorie adjustment,Cardio,107.0,1,,,,,
2017-02-16,MFP iOS calorie adjustment,Cardio,47.0,1,,,,,
2017-02-17,MFP iOS calorie adjustment,Cardio,78.0,1,,,,,
2017-02-18,MFP iOS calorie adjustment,Cardio,13.0,1,,,,,
2017-02-19,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2017-02-20,MFP iOS calorie adjustment,Cardio,18.0,1,,,,,
2017-02-21,MFP iOS calorie adjustment,Cardio,152.0,1,,,,,
2017-02-22,MFP iOS calorie adjustment,Cardio,95.0,1,,,,,
2017-02-23,MFP iOS calorie adjustment,Cardio,181.0,1,,,,,
2017-02-24,MFP iOS calorie adjustment,Cardio,94.0,1,,,,,
2017-02-25,MFP iOS calorie adjustment,Cardio,264.0,1,,,,,
2017-02-26,MFP iOS calorie adjustment,Cardio,8.0,1,,,,,
2017-02-27,MFP iOS calorie adjustment,Cardio,47.0,1,,,,,
2017-02-28,MFP iOS calorie adjustment,Cardio,41.0,1,,,,,
2017-03-01,MFP iOS calorie adjustment,Cardio,140.0,1,,,,,
2017-03-02,MFP iOS calorie adjustment,Cardio,164.0,1,,,,,
2017-03-03,MFP iOS calorie adjustment,Cardio,55.0,1,,,,,
2017-03-04,MFP iOS calorie adjustment,Cardio,37.0,1,,,,,
2017-03-05,MFP iOS calorie adjustment,Cardio,69.0,1,,,,,
2017-03-06,MFP iOS calorie adjustment,Cardio,31.0,1,,,,,
2017-03-07,MFP iOS calorie adjustment,Cardio,69.0,1,,,,,
2017-03-08,MFP iOS calorie adjustment,Cardio,59.0,1,,,,,
2017-03-09,MFP iOS calorie adjustment,Cardio,34.0,1,,,,,
2017-03-10,MFP iOS calorie adjustment,Cardio,180.0,1,,,,,
2017-03-11,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2018-08-28,Fitbit calorie adjustment,Cardio,0.0,1,,,,6635,
2018-08-29,Fitbit calorie adjustment,Cardio,0.0,1,,,,932,
