Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2016-04-12,MFP iOS calorie adjustment,Cardio,172.0,1,,,,,
2016-04-13,MFP iOS calorie adjustment,Cardio,127.0,1,,,,,
2016-04-14,MFP iOS calorie adjustment,Cardio,115.0,1,,,,,
2016-04-15,MFP iOS calorie adjustment,Cardio,119.0,1,,,,,
2016-04-16,MFP iOS calorie adjustment,Cardio,143.0,1,,,,,
2016-04-17,MFP iOS calorie adjustment,Cardio,188.0,1,,,,,
2016-04-18,MFP iOS calorie adjustment,Cardio,165.0,1,,,,,
2016-04-19,MFP iOS calorie adjustment,Cardio,175.0,1,,,,,
2016-04-20,MFP iOS calorie adjustment,Cardio,101.0,1,,,,,
2016-04-21,MFP iOS calorie adjustment,Cardio,542.0,1,,,,,
2016-04-22,MFP iOS calorie adjustment,Cardio,318.0,1,,,,,
2016-04-23,MFP iOS calorie adjustment,Cardio,703.0,1,,,,,
2016-04-24,MFP iOS calorie adjustment,Cardio,175.0,1,,,,,
2016-04-25,MFP iOS calorie adjustment,Cardio,158.0,1,,,,,
2016-04-26,MFP iOS calorie adjustment,Cardio,145.0,1,,,,,
2016-04-27,MFP iOS calorie adjustment,Cardio,236.0,1,,,,,
2016-04-28,MFP iOS calorie adjustment,Cardio,154.0,1,,,,,
2016-04-29,MFP iOS calorie adjustment,Cardio,527.0,1,,,,,
2016-04-30,MFP iOS calorie adjustment,Cardio,249.0,1,,,,,
2016-05-01,MFP iOS calorie adjustment,Cardio,149.0,1,,,,,
2016-05-02,MFP iOS calorie adjustment,Cardio,272.0,1,,,,,
2016-05-03,MFP iOS calorie adjustment,Cardio,229.0,1,,,,,
2016-05-04,MFP iOS calorie adjustment,Cardio,210.0,1,,,,,
2016-05-05,MFP iOS calorie adjustment,Cardio,183.0,1,,,,,
2016-05-06,MFP iOS calorie adjustment,Cardio,489.0,1,,,,,
2016-05-07,MFP iOS calorie adjustment,Cardio,328.0,1,,,,,
2016-05-08,MFP iOS calorie adjustment,Cardio,46.0,1,,,,,
2016-05-09,MFP iOS calorie adjustment,Cardio,203.0,1,,,,,
2016-05-10,MFP iOS calorie adjustment,Cardio,202.0,1,,,,,
2016-05-11,MFP iOS calorie adjustment,Cardio,206.0,1,,,,,
2016-05-12,MFP iOS calorie adjustment,Cardio,398.0,1,,,,,
2016-05-13,MFP iOS calorie adjustment,Cardio,154.0,1,,,,,
2016-05-14,MFP iOS calorie adjustment,Cardio,121.0,1,,,,,
2016-05-15,MFP iOS calorie adjustment,Cardio,116.0,1,,,,,
2016-05-16,MFP iOS calorie adjustment,Cardio,242.0,1,,,,,
2016-05-17,MFP iOS calorie adjustment,Cardio,182.0,1,,,,,
2016-05-18,MFP iOS calorie adjustment,Cardio,208.0,1,,,,,
2016-05-19,MFP iOS calorie adjustment,Cardio,90.0,1,,,,,
2016-05-20,MFP iOS calorie adjustment,Cardio,363.0,1,,,,,
2016-05-21,MFP iOS calorie adjustment,Cardio,154.0,1,,,,,
2016-05-22,MFP iOS calorie adjustment,Cardio,56.0,1,,,,,
2016-05-23,MFP iOS calorie adjustment,Cardio,159.0,1,,,,,
2016-05-24,MFP iOS calorie adjustment,Cardio,299.0,1,,,,,
2016-05-25,MFP iOS calorie adjustment,Cardio,208.0,1,,,,,
2016-05-26,MFP iOS calorie adjustment,Cardio,158.0,1,,,,,
2016-05-27,MFP iOS calorie adjustment,Cardio,481.0,1,,,,,
2016-05-28,MFP iOS calorie adjustment,Cardio,176.0,1,,,,,
2016-05-29,MFP iOS calorie adjustment,Cardio,120.0,1,,,,,
2016-05-30,MFP iOS calorie adjustment,Cardio,255.0,1,,,,,
2016-05-31,MFP iOS calorie adjustment,Cardio,198.0,1,,,,,
2016-06-01,MFP iOS calorie adjustment,Cardio,135.0,1,,,,,
2016-06-02,MFP iOS calorie adjustment,Cardio,543.0,1,,,,,
2016-06-03,MFP iOS calorie adjustment,Cardio,271.0,1,,,,,
2016-06-04,MFP iOS calorie adjustment,Cardio,353.0,1,,,,,
2016-06-05,MFP iOS calorie adjustment,Cardio,90.0,1,,,,,
2016-06-06,MFP iOS calorie adjustment,Cardio,162.0,1,,,,,
2016-06-07,MFP iOS calorie adjustment,Cardio,275.0,1,,,,,
2016-06-08,MFP iOS calorie adjustment,Cardio,214.0,1,,,,,
2016-06-09,MFP iOS calorie adjustment,Cardio,186.0,1,,,,,
2016-06-10,MFP iOS calorie adjustment,Cardio,230.0,1,,,,,
2016-06-11,MFP iOS calorie adjustment,Cardio,316.0,1,,,,,
2016-06-12,MFP iOS calorie adjustment,Cardio,178.0,1,,,,,
2016-06-13,MFP iOS calorie adjustment,Cardio,285.0,1,,,,,
2016-06-14,MFP iOS calorie adjustment,Cardio,454.0,1,,,,,
2016-06-15,MFP iOS calorie adjustment,Cardio,154.0,1,,,,,
2016-06-16,MFP iOS calorie adjustment,Cardio,203.0,1,,,,,
2016-06-17,MFP iOS calorie adjustment,Cardio,231.0,1,,,,,
2016-06-18,MFP iOS calorie adjustment,Cardio,32.0,1,,,,,
2016-06-19,MFP iOS calorie adjustment,Cardio,26.0,1,,,,,
2016-06-20,MFP iOS calorie adjustment,Cardio,195.0,1,,,,,
2016-06-21,MFP iOS calorie adjustment,Cardio,249.0,1,,,,,
2016-06-22,MFP iOS calorie adjustment,Cardio,169.0,1,,,,,
2016-06-23,MFP iOS calorie adjustment,Cardio,268.0,1,,,,,
2016-06-24,MFP iOS calorie adjustment,Cardio,288.0,1,,,,,
2016-06-25,MFP iOS calorie adjustment,Cardio,192.0,1,,,,,
2016-06-26,MFP iOS calorie adjustment,Cardio,246.0,1,,,,,
2016-06-27,MFP iOS calorie adjustment,Cardio,219.0,1,,,,,
2016-06-28,MFP iOS calorie adjustment,Cardio,189.0,1,,,,,
2016-06-29,MFP iOS calorie adjustment,Cardio,343.0,1,,,,,
2016-06-30,MFP iOS calorie adjustment,Cardio,217.0,1,,,,,
2016-07-01,MFP iOS calorie adjustment,Cardio,199.0,1,,,,,
2016-07-02,MFP iOS calorie adjustment,Cardio,395.0,1,,,,,
2016-07-03,MFP iOS calorie adjustment,Cardio,316.0,1,,,,,
2016-07-04,MFP iOS calorie adjustment,Cardio,163.0,1,,,,,
2016-07-05,MFP iOS calorie adjustment,Cardio,150.0,1,,,,,
2016-07-06,MFP iOS calorie adjustment,Cardio,169.0,1,,,,,
2016-07-07,MFP iOS calorie adjustment,Cardio,91.0,1,,,,,
2016-07-08,MFP iOS calorie adjustment,Cardio,588.0,1,,,,,
2016-07-09,MFP iOS calorie adjustment,Cardio,362.0,1,,,,,
2016-07-10,MFP iOS calorie adjustment,Cardio,355.0,1,,,,,
2016-07-11,MFP iOS calorie adjustment,Cardio,675.0,1,,,,,
2016-07-12,MFP iOS calorie adjustment,Cardio,303.0,1,,,,,
2016-07-13,MFP iOS calorie adjustment,Cardio,391.0,1,,,,,
2016-07-14,MFP iOS calorie adjustment,Cardio,404.0,1,,,,,
2016-07-15,MFP iOS calorie adjustment,Cardio,479.0,1,,,,,
2016-07-16,MFP iOS calorie adjustment,Cardio,489.0,1,,,,,
2016-07-17,MFP iOS calorie adjustment,Cardio,97.0,1,,,,,
2016-07-18,MFP iOS calorie adjustment,Cardio,97.0,1,,,,,
2016-07-19,MFP iOS calorie adjustment,Cardio,135.0,1,,,,,
2016-07-20,MFP iOS calorie adjustment,Cardio,377.0,1,,,,,
2016-07-21,MFP iOS calorie adjustment,Cardio,157.0,1,,,,,
2016-07-22,MFP iOS calorie adjustment,Cardio,346.0,1,,,,,
2016-07-23,MFP iOS calorie adjustment,Cardio,186.0,1,,,,,
2016-07-24,MFP iOS calorie adjustment,Cardio,52.0,1,,,,,
2016-07-25,MFP iOS calorie adjustment,Cardio,476.0,1,,,,,
2016-07-26,MFP iOS calorie adjustment,Cardio,426.0,1,,,,,
2016-07-27,MFP iOS calorie adjustment,Cardio,224.0,1,,,,,
